image_right,image_left,lat,long,travel_bearing
streetview_77_right.jpg,streetview_77_left.jpg,37.76528453,-122.459226,213.6
streetview_78_right.jpg,streetview_78_left.jpg,37.73460878,-122.4849749,41.2
streetview_79_right.jpg,streetview_79_left.jpg,37.79993945,-122.4124412,187.9
streetview_80_right.jpg,streetview_80_left.jpg,37.72061473,-122.4262801,60.5
streetview_81_right.jpg,streetview_81_left.jpg,37.73342978,-122.3976896,339.4
streetview_82_right.jpg,streetview_82_left.jpg,37.79380687,-122.4263826,192.4
streetview_83_right.jpg,streetview_83_left.jpg,37.71683464,-122.4477457,325.7
streetview_84_right.jpg,streetview_84_left.jpg,37.77806965,-122.5006955,124.5
streetview_85_right.jpg,streetview_85_left.jpg,37.73017097,-122.4125219,246.4
streetview_86_right.jpg,streetview_86_left.jpg,37.7225052,-122.434662,45.7
streetview_87_right.jpg,streetview_87_left.jpg,37.74135322,-122.4102647,238.1
streetview_88_right.jpg,streetview_88_left.jpg,37.71382896,-122.4661816,23.2
streetview_89_right.jpg,streetview_89_left.jpg,37.75616483,-122.4432348,116.8
streetview_90_right.jpg,streetview_90_left.jpg,37.74657374,-122.4192372,354.6
streetview_91_right.jpg,streetview_91_left.jpg,37.78912987,-122.4243162,194.5
streetview_92_right.jpg,streetview_92_left.jpg,37.70958512,-122.4503526,36.9
streetview_93_right.jpg,streetview_93_left.jpg,37.74413737,-122.4175164,326.9
streetview_94_right.jpg,streetview_94_left.jpg,37.78098574,-122.4479248,279.6
streetview_95_right.jpg,streetview_95_left.jpg,37.78346757,-122.4665945,140.2
streetview_96_right.jpg,streetview_96_left.jpg,37.7243134,-122.4044084,288.4
streetview_97_right.jpg,streetview_97_left.jpg,37.7499941,-122.5019615,78.3
streetview_98_right.jpg,streetview_98_left.jpg,37.75480504,-122.4724644,308.4
streetview_99_right.jpg,streetview_99_left.jpg,37.76026191,-122.4811792,323.6
streetview_100_right.jpg,streetview_100_left.jpg,37.77518718,-122.4951176,153.3
streetview_101_right.jpg,streetview_101_left.jpg,37.71822649,-122.4588338,107.2
streetview_102_right.jpg,streetview_102_left.jpg,37.7118718,-122.432896,263.1
streetview_103_right.jpg,streetview_103_left.jpg,37.71062686,-122.4459346,274.5
streetview_104_right.jpg,streetview_104_left.jpg,37.71201456,-122.4684295,350.2
streetview_105_right.jpg,streetview_105_left.jpg,37.7324256,-122.4728874,131.9
streetview_106_right.jpg,streetview_106_left.jpg,37.7177804,-122.4522887,67.4
streetview_107_right.jpg,streetview_107_left.jpg,37.73217944,-122.4084443,253.4
streetview_108_right.jpg,streetview_108_left.jpg,37.71728719,-122.4716144,69.2
streetview_109_right.jpg,streetview_109_left.jpg,37.73919458,-122.3984228,257.2
streetview_110_right.jpg,streetview_110_left.jpg,37.72987168,-122.4503632,16.9
streetview_111_right.jpg,streetview_111_left.jpg,37.80256755,-122.4224366,159.3
streetview_112_right.jpg,streetview_112_left.jpg,37.72870655,-122.387161,282.2
streetview_113_right.jpg,streetview_113_left.jpg,37.73738092,-122.4381722,275.9
streetview_114_right.jpg,streetview_114_left.jpg,37.74171606,-122.4917117,115.8
streetview_115_right.jpg,streetview_115_left.jpg,37.72068568,-122.436764,274.2
streetview_116_right.jpg,streetview_116_left.jpg,37.72157048,-122.4521097,114.5
streetview_117_right.jpg,streetview_117_left.jpg,37.71816838,-122.4426612,334.9
streetview_118_right.jpg,streetview_118_left.jpg,37.72859504,-122.4488343,327.5
streetview_119_right.jpg,streetview_119_left.jpg,37.78350927,-122.4931517,71.8
streetview_120_right.jpg,streetview_120_left.jpg,37.80141177,-122.4239904,170.0
streetview_121_right.jpg,streetview_121_left.jpg,37.73738536,-122.4097,306.2
streetview_122_right.jpg,streetview_122_left.jpg,37.78410965,-122.4903877,125.2
streetview_123_right.jpg,streetview_123_left.jpg,37.73354965,-122.399805,205.2
streetview_124_right.jpg,streetview_124_left.jpg,37.71391656,-122.4114963,297.6
streetview_125_right.jpg,streetview_125_left.jpg,37.74786844,-122.4935726,6.4
streetview_126_right.jpg,streetview_126_left.jpg,37.7818376,-122.4887876,144.8
streetview_127_right.jpg,streetview_127_left.jpg,37.73895166,-122.4505042,58.9
streetview_128_right.jpg,streetview_128_left.jpg,37.75194759,-122.4232367,219.5
streetview_129_right.jpg,streetview_129_left.jpg,37.71411844,-122.4625813,205.3
streetview_130_right.jpg,streetview_130_left.jpg,37.70950328,-122.46534,13.3
streetview_131_right.jpg,streetview_131_left.jpg,37.796597,-122.4393147,137.7
streetview_132_right.jpg,streetview_132_left.jpg,37.785918,-122.4270394,248.3
streetview_133_right.jpg,streetview_133_left.jpg,37.76248644,-122.5014012,93.9
streetview_134_right.jpg,streetview_134_left.jpg,37.76112058,-122.4758696,113.5
streetview_135_right.jpg,streetview_135_left.jpg,37.73306592,-122.3945311,224.2
streetview_136_right.jpg,streetview_136_left.jpg,37.72462852,-122.4049027,288.1
streetview_137_right.jpg,streetview_137_left.jpg,37.73076936,-122.4286828,56.9
streetview_138_right.jpg,streetview_138_left.jpg,37.73981433,-122.4111458,307.8
streetview_139_right.jpg,streetview_139_left.jpg,37.77746004,-122.4726052,125.4
streetview_140_right.jpg,streetview_140_left.jpg,37.75864723,-122.43912,9.4
